application->application/gzip
application->application/javascript
application->application/json
application->application/octet-stream
application->application/x-www-form-urlencoded
application->application/xml
font->font/ttf
font->font/woff
font->font/woff2
image->image/bmp
image->image/gif
image->image/icon
image->image/jpeg
image->image/png
image->image/svg
image->image/webp
text->text/css
text->text/html
text->text/plain
application->x-unknown
application->application/aspx
application->application/fcgi
application->application/jsp
application->application/php
