1xx->100
1xx->101
1xx->102
1xx->103
2xx->200
2xx->201
2xx->202
2xx->203
2xx->204
2xx->205
2xx->206
2xx->207
2xx->208
2xx->226
3xx->300
3xx->301
3xx->302
3xx->303
3xx->304
3xx->305
3xx->306
3xx->307
3xx->308
4xx->400
4xx->401
4xx->402
4xx->403
4xx->404
4xx->405
4xx->406
4xx->407
4xx->408
4xx->409
4xx->410
4xx->411
4xx->412
4xx->413
4xx->414
4xx->415
4xx->416
4xx->417
4xx->421
4xx->422
4xx->423
4xx->424
4xx->426
4xx->428
4xx->429
4xx->431
4xx->451
5xx->500
5xx->501
5xx->502
5xx->503
5xx->504
5xx->505
5xx->506
5xx->507
5xx->508
5xx->510
5xx->511
