aspx-->application/aspx
fcgi-->application/fcgi
js-->application/javascript
jsp-->application/jsp
php-->application/php
woff2-->font/woff2
gif-->image/gif
jpg-->image/jpeg
png-->image/png
svg-->image/svg
css-->text/css
html-->text/html
